,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,B3Q2FJ4,Stanley Black & Decker Inc,SWK,0.02%,Industrial Machinery & Supplies & Components,US,---,"$310,369,863.24 ","3,945,714"
,B28XP76,Invesco Ltd,IVZ,0.02%,Asset Management & Custody Banks,US,---,"$309,397,591.42 ","11,337,398"
,2726177,Regency Centers Corp,REG,0.02%,Retail REITs,US,---,"$305,625,888.75 ","4,194,125"
,BJBLRK3,Healthpeak Properties Inc,DOC,0.02%,Health Care REITs,US,---,"$305,213,615.44 ","17,703,806"
,2331430,Assurant Inc,AIZ,0.02%,Property & Casualty Insurance,US,---,"$303,731,243.05 ","1,275,485"
,2989356,Zebra Technologies Corp,ZBRA,0.02%,Electronic Equipment & Instruments,US,---,"$303,710,945.06 ","1,292,497"
,2414580,Hasbro Inc,HAS,0.02%,Leisure Products,US,---,"$303,248,532.60 ","3,395,460"
,2567503,Host Hotels & Resorts Inc,HST,0.02%,Hotel & Resort REITs,US,---,"$301,887,924.91 ","16,291,847"
,2166320,Camden Property Trust,CPT,0.02%,Multi-Family Residential REITs,US,---,"$295,589,076.15 ","2,710,583"
,B44Z3T8,EPAM Systems Inc,EPAM,0.02%,IT Consulting & Other Services,US,---,"$293,573,210.00 ","1,407,350"
,BMTQB43,Solventum Corp,SOLV,0.02%,Health Care Supplies,US,---,"$289,102,706.68 ","3,756,044"
,2048804,Pinnacle West Capital Corp,PNW,0.02%,Electric Utilities,US,---,"$285,276,789.92 ","3,049,132"
,2951452,J M Smucker Co/The,SJM,0.02%,Packaged Foods & Meats,US,---,"$284,992,597.54 ","2,717,839"
,2727910,UDR Inc,UDR,0.02%,Multi-Family Residential REITs,US,---,"$284,655,448.05 ","7,662,327"
,BK6YKG1,Globe Life Inc,GL,0.02%,Life & Health Insurance,US,---,"$284,023,742.76 ","2,025,558"
,2923785,Universal Health Services Inc,UHS,0.02%,Health Care Facilities,US,---,"$283,205,424.12 ","1,407,162"
,BFX1V56,Dayforce Inc,DAY,0.02%,Human Resource & Employment Services,US,---,"$282,436,579.83 ","4,077,329"
,2679204,Align Technology Inc,ALGN,0.02%,Health Care Supplies,US,---,"$277,154,749.69 ","1,700,023"
,2002479,AES Corp/The,AES,0.02%,Independent Power Producers & Energy Traders,US,---,"$265,741,462.85 ","18,139,349"
,2604336,Charles River Laboratories International Inc,CRL,0.02%,Life Sciences Tools & Services,US,---,"$263,883,196.08 ","1,253,721"
,2085102,Baxter International Inc,BAX,0.02%,Health Care Equipment,US,---,"$262,654,303.77 ","13,086,911"
,BBGVT40,News Corp,NWSA,0.02%,Publishing,US,---,"$261,034,386.30 ","9,657,210"
,B9CGTC3,Norwegian Cruise Line Holdings Ltd,NCLH,0.02%,"Hotels, Resorts & Cruise Lines",US,---,"$254,707,078.68 ","11,598,683"
,BSHZ3Q0,Bio-Techne Corp,TECH,0.02%,Life Sciences Tools & Services,US,---,"$254,412,625.35 ","3,969,615"
,B6197Q2,Generac Holdings Inc,GNRC,0.02%,Electrical Components & Equipment,US,---,"$251,220,472.16 ","1,495,004"
,BJJMGY5,Fox Corp,FOX,0.02%,Broadcasting,US,---,"$248,186,777.62 ","3,785,066"
,2019479,BXP Inc,BXP,0.02%,Office REITs,US,---,"$242,812,633.47 ","3,754,641"
,2329770,FactSet Research Systems Inc,FDS,0.02%,Financial Exchanges & Data,US,---,"$242,728,880.28 ","954,273"
,BNNF1C1,Apa Corp,APA,0.02%,Oil & Gas Exploration & Production,US,---,"$238,569,875.56 ","9,033,316"
,2212706,Molina Healthcare Inc,MOH,0.02%,Managed Health Care,US,---,"$235,306,899.55 ","1,310,245"
,2963811,Wynn Resorts Ltd,WYNN,0.02%,Casinos & Gaming,US,---,"$231,097,765.15 ","2,150,747"
,2215460,Conagra Brands Inc,CAG,0.01%,Packaged Foods & Meats,US,---,"$225,529,023.72 ","12,184,172"
,B3NPHP6,Mosaic Co/The,MOS,0.01%,Fertilizers & Agricultural Chemicals,US,---,"$222,231,432.50 ","8,081,143"
,2009210,Alexandria Real Estate Equities Inc,ARE,0.01%,Health Care REITs,US,---,"$216,524,386.80 ","3,962,745"
,2781585,Pool Corp,POOL,0.01%,Distributors,US,---,"$212,172,772.70 ","835,030"
,2816023,A O Smith Corp,AOS,0.01%,Building Products,US,---,"$212,102,869.54 ","2,886,146"
,2961053,Skyworks Solutions Inc,SWKS,0.01%,Semiconductors,US,---,"$211,289,806.72 ","3,789,272"
,2350684,Franklin Resources Inc,BEN,0.01%,Asset Management & Custody Banks,US,---,"$208,190,015.44 ","7,820,812"
,B067BM3,Molson Coors Beverage Co,TAP,0.01%,Brewers,US,---,"$207,075,891.56 ","4,310,489"
,BN7P9B2,Federal Realty Investment Trust,FRT,0.01%,Retail REITs,US,---,"$202,280,648.76 ","1,999,611"
,2416962,Henry Schein Inc,HSIC,0.01%,Health Care Distributors,US,---,"$192,230,803.44 ","2,546,778"
,BK80XH9,Match Group Inc,MTCH,0.01%,Interactive Media & Services,US,---,"$187,189,227.75 ","6,009,285"
,2311711,Erie Indemnity Co,ERIE,0.01%,Property & Casualty Insurance,US,---,"$183,080,018.03 ","646,903"
,2437264,Hormel Foods Corp,HRL,0.01%,Packaged Foods & Meats,US,---,"$182,583,583.41 ","7,419,081"
,2547419,MGM Resorts International,MGM,0.01%,Casinos & Gaming,US,---,"$175,283,394.00 ","5,226,100"
,BL95MY0,Paycom Software Inc,PAYC,0.01%,Human Resource & Employment Services,US,---,"$167,764,019.50 ","1,245,002"
,BDQZFJ3,Lamb Weston Holdings Inc,LW,0.01%,Packaged Foods & Meats,US,---,"$162,879,308.43 ","3,546,251"
,2162845,Campbell's Company/The,CPB,<0.01%,Packaged Foods & Meats,US,---,"$140,054,449.60 ","5,005,520"
,2146838,Brown-Forman Corp,BF/B,<0.01%,Distillers & Vintners,US,---,"$122,535,654.22 ","4,477,006"
,2898087,DaVita Inc,DVA,<0.01%,Health Care Services,US,---,"$98,070,982.24 ","896,936"
,BBGVT51,News Corp,NWS,<0.01%,Publishing,US,---,"$94,493,960.10 ","3,038,391"
,BSNMNQ5,Paramount Skydance Corp,PSKY,<0.01%,Broadcasting,US,---,"$88,791,663.55 ","7,920,755"
,BQBG6P5,ABIOMED INC-CVR,2223637D,<0.01%,Health Care Equipment,US,---,$183.60 ,180
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,MARKET VALUE*,FACEAMOUNT,COUPONYIELD,MATURITY DATE,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"For more information about Vanguard funds and Vanguard ETF Shares, visit advisors.vanguard.com or call 800-997-2798 to obtain a prospectus or, if available, a summary prospectus. Investment objectives, risks, charges, expenses, and other important information about a fund are contained in the prospectus; read and consider it carefully before investing.",,,,,,,,,
